seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
4,0,1,0,0,0,0,1
62,1,1,1,1,1,1,6
102,1,1,1,1,1,1,6
107,0,1,1,1,1,1,5
112,0,1,1,1,1,1,5
128,1,1,1,1,1,1,6
144,0,1,0,1,0,1,3
194,1,1,1,1,1,1,6
204,0,1,1,1,1,1,5
208,1,1,1,1,1,1,6
213,0,1,1,1,1,1,5
295,0,1,0,0,0,0,1
439,0,1,0,0,0,0,1
457,0,1,0,0,0,0,1
504,0,0,0,1,0,0,1
542,0,1,1,1,1,1,5
548,0,1,1,1,1,1,5
552,0,1,0,0,0,0,1
569,0,0,1,0,1,0,2
585,0,1,0,0,0,0,1
801,0,1,1,1,1,1,5
835,1,1,1,1,1,1,6
845,0,1,0,0,0,0,1
925,0,0,0,1,0,0,1
929,1,1,1,1,1,1,6
966,0,1,1,1,1,1,5
