seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
32,0,0,0,1,0,0,1
35,0,1,0,0,0,0,1
102,0,0,1,1,1,1,4
105,0,1,0,0,0,0,1
112,0,1,0,1,0,0,2
144,1,1,1,1,1,1,6
162,0,1,1,1,1,1,5
200,0,1,1,1,1,1,5
204,1,1,1,1,1,1,6
205,0,1,1,0,1,0,3
208,1,1,1,1,1,1,6
274,0,1,0,0,0,0,1
285,0,1,1,1,1,1,5
295,0,1,1,1,1,1,5
298,0,1,0,0,0,0,1
302,0,1,0,1,0,1,3
383,0,1,0,0,0,0,1
395,1,1,1,1,1,1,6
420,0,1,0,1,0,0,2
431,0,1,0,0,0,0,1
457,1,1,0,1,0,1,4
498,1,1,1,1,1,1,6
504,1,1,1,1,1,1,6
552,1,1,1,1,1,1,6
569,1,1,1,1,1,1,6
592,0,1,0,0,0,0,1
632,0,1,1,1,1,1,5
661,1,1,0,0,0,0,2
706,1,1,1,1,1,1,6
801,0,1,0,1,0,1,3
845,0,1,0,0,0,0,1
884,0,1,0,0,0,0,1
891,1,1,1,1,1,1,6
894,0,1,0,0,0,0,1
925,0,1,0,0,0,0,1
951,1,1,1,1,1,1,6
955,0,1,0,1,0,1,3
966,0,1,1,1,1,1,5
977,0,1,0,0,0,0,1
