ChromosomeNumber,Start,End,Parameters
1,0,100000,CN=1;CRUCIAL=0
1,100000,200000,CN=1;CRUCIAL=0
1,200000,300000,CN=1;CRUCIAL=0
1,300000,400000,CN=1;CRUCIAL=0
1,400000,500000,CN=1;CRUCIAL=1
1,500000,600000,CN=1;CRUCIAL=0
1,600000,700000,CN=1;CRUCIAL=0
1,700000,800000,CN=1;CRUCIAL=1
1,800000,900000,CN=1;CRUCIAL=0
1,900000,1000000,CN=1;CRUCIAL=0
1,1000000,1100000,CN=1;CRUCIAL=0
1,1100000,1200000,CN=1;CRUCIAL=0
1,1200000,1300000,CN=1;CRUCIAL=0
1,1300000,1400000,CN=1;CRUCIAL=0
1,1400000,1500000,CN=1;CRUCIAL=0
1,1500000,1600000,CN=1;CRUCIAL=0
1,1600000,1700000,CN=1;CRUCIAL=0
1,1700000,1800000,CN=1;CRUCIAL=0
1,1800000,1900000,CN=1;CRUCIAL=0
1,1900000,2000000,CN=1;CRUCIAL=0
1,2000000,2100000,CN=1;CRUCIAL=0
1,2100000,2200000,CN=1;CRUCIAL=0
1,2200000,2300000,CN=1;CRUCIAL=0
1,2300000,2400000,CN=1;CRUCIAL=0
1,2400000,2500000,CN=1;CRUCIAL=0
1,2500000,2600000,CN=1;CRUCIAL=0
1,2600000,2700000,CN=1;CRUCIAL=0
1,2700000,2800000,CN=1;CRUCIAL=0
1,2800000,2900000,CN=1;CRUCIAL=0
1,2900000,3000000,CN=1;CRUCIAL=0
1,3000000,3100000,CN=1;CRUCIAL=0
1,3100000,3200000,CN=1;CRUCIAL=0
1,3200000,3300000,CN=1;CRUCIAL=0
1,3300000,3400000,CN=1;CRUCIAL=0
1,3400000,3500000,CN=1;CRUCIAL=0
1,3500000,3600000,CN=1;CRUCIAL=0
1,3600000,3700000,CN=1;CRUCIAL=0
1,3700000,3800000,CN=1;CRUCIAL=0
1,3800000,3900000,CN=1;CRUCIAL=1
1,3900000,4000000,CN=1;CRUCIAL=0
1,4000000,4100000,CN=1;CRUCIAL=1
1,4100000,4200000,CN=1;CRUCIAL=1
1,4200000,4300000,CN=1;CRUCIAL=0
1,4300000,4400000,CN=1;CRUCIAL=0
1,4400000,4500000,CN=1;CRUCIAL=0
1,4500000,4600000,CN=1;CRUCIAL=0
1,4600000,4700000,CN=1;CRUCIAL=0
1,4700000,4800000,CN=1;CRUCIAL=0
1,4800000,4900000,CN=1;CRUCIAL=0
1,4900000,5000000,CN=1;CRUCIAL=1
2,0,100000,CN=1;CRUCIAL=0
2,100000,200000,CN=1;CRUCIAL=0
2,200000,300000,CN=1;CRUCIAL=0
2,300000,400000,CN=1;CRUCIAL=0
2,400000,500000,CN=1;CRUCIAL=1
2,500000,600000,CN=1;CRUCIAL=0
2,600000,700000,CN=1;CRUCIAL=0
2,700000,800000,CN=1;CRUCIAL=0
2,800000,900000,CN=1;CRUCIAL=0
2,900000,1000000,CN=1;CRUCIAL=0
2,1000000,1100000,CN=1;CRUCIAL=0
2,1100000,1200000,CN=1;CRUCIAL=1
2,1200000,1300000,CN=1;CRUCIAL=0
2,1300000,1400000,CN=1;CRUCIAL=0
2,1400000,1500000,CN=1;CRUCIAL=0
2,1500000,1600000,CN=1;CRUCIAL=0
2,1600000,1700000,CN=1;CRUCIAL=0
2,1700000,1800000,CN=1;CRUCIAL=0
2,1800000,1900000,CN=1;CRUCIAL=0
2,1900000,2000000,CN=1;CRUCIAL=1
2,2000000,2100000,CN=1;CRUCIAL=0
2,2100000,2200000,CN=1;CRUCIAL=0
2,2200000,2300000,CN=1;CRUCIAL=1
2,2300000,2400000,CN=1;CRUCIAL=0
2,2400000,2500000,CN=1;CRUCIAL=0
2,2500000,2600000,CN=1;CRUCIAL=0
2,2600000,2700000,CN=1;CRUCIAL=0
2,2700000,2800000,CN=1;CRUCIAL=0
2,2800000,2900000,CN=1;CRUCIAL=0
2,2900000,3000000,CN=1;CRUCIAL=0
2,3000000,3100000,CN=1;CRUCIAL=0
2,3100000,3200000,CN=1;CRUCIAL=0
2,3200000,3300000,CN=1;CRUCIAL=0
2,3300000,3400000,CN=1;CRUCIAL=0
2,3400000,3500000,CN=1;CRUCIAL=0
2,3500000,3600000,CN=1;CRUCIAL=0
2,3600000,3700000,CN=1;CRUCIAL=0
2,3700000,3800000,CN=1;CRUCIAL=0
2,3800000,3900000,CN=1;CRUCIAL=0
2,3900000,4000000,CN=1;CRUCIAL=0
2,4000000,4100000,CN=1;CRUCIAL=0
2,4100000,4200000,CN=1;CRUCIAL=0
2,4200000,4300000,CN=1;CRUCIAL=0
2,4300000,4400000,CN=1;CRUCIAL=0
2,4400000,4500000,CN=1;CRUCIAL=0
2,4500000,4600000,CN=1;CRUCIAL=0
2,4600000,4700000,CN=1;CRUCIAL=0
2,4700000,4800000,CN=1;CRUCIAL=0
2,4800000,4900000,CN=1;CRUCIAL=0
2,4900000,5000000,CN=1;CRUCIAL=0
